id,mean_snake,mean_background
31763445,32.283,52.16725
31801389,17.47,59.988
31994259,10.035,57.38625
32026113,14.684,53.59925
32282052,27.119,62.50075
32317301,6.954,29.89925
32458341,25.0105,68.222
32461914,10.398,50.834
32960764,18.831,57.84075
33036618,32.0605,48.781
33062331,27.8775,62.8155
33066372,22.335,55.281
33214245,45.7185,60.15975
33254894,15.1025,63.23375
33366728,63.4385,37.02925
33757082,49.255,65.41975
33810951,6.96,46.80675
34041008,61.0585,31.59775
34328034,43.127,21.2155
34330679,11.4455,52.395
34886128,29.802,48.0005
35425768,43.6385,27.419
35452300,49.066,67.19825
35746725,33.0045,68.14775
35809465,22.4555,36.328
37087489,31.0895,70.546
37303318,73.512,45.1355
37473701,43.8755,74.12575
37692186,26.6435,53.81825
37701230,9.132,39.36775
37772819,60.1995,45.4685
37866080,56.8135,47.78875
37926648,18.092,47.28875
38318809,17.602,57.01025
38334762,59.296,53.97625
38340372,4.4335,66.92175
38575064,46.2355,59.498
38848649,56.7945,25.7665
38852798,83.404,64.656
38873279,40.0535,51.659
39549079,64.4795,44.13075
39551400,42.466,35.141
39824069,25.298,43.00475
39836767,54.7535,65.52025
39902770,86.4025,46.57075
39930622,14.8475,51.9925
39967182,50.461,57.213
40026161,71.208,57.05325
40205463,28.501,45.1725
40336686,52.6985,47.1885
40372840,74.4805,46.492
40565029,28.5835,54.09225
40586173,17.95,30.75775
40669398,30.2115,49.75025
40698946,35.888,50.9555
40724457,23.839,42.53175
40753646,43.5795,54.82975
40768884,5.2615,53.475
40867194,26.734,30.58275
40995343,30.2895,80.4175
41020708,22.1735,49.25375
41063676,17.9905,55.197
